ep_id,title,skill_id,logline,conflict,wrong_solution,right_solution,practice_for_viewer,runtime_min,shorts_hook,animation_complexity,week_to_produce,priority,flag
12,The Bike With Training Wheels Off,02,Maya's training wheels come off and she gives up after two falls.,The bike keeps tipping over on the first two tries.,Maya declares she'll never ride it and rolls it into the garage.,Maya tries a third time with Gramps Lou steadying the seat.,Pick one wobble-and-fall thing and try it once more today.,7,"The second fall, and the long pause after.",M,12,Medium,
13,The Puzzle With 100 Pieces,02,A new puzzle looks impossible once it's only half sorted.,The pieces are all mixed up and the picture looks nowhere close.,Maya sweeps the pieces back into the box.,Maya sorts by edge pieces first and finds the corners.,Break one big thing into a smaller first step today.,6,"The box getting swept shut, then reopened.",S,13,Medium,
14,Reading the Chapter Book,02,Maya switches back to picture books when the words in her new book get hard.,A word Maya doesn't know stops her mid-page.,Maya quietly swaps the book for an easier one.,Maya sounds out the hard word and keeps going.,"Don't skip the hard part today, slow down on it instead.",7,The stuck word on the page.,S,14,Medium,
15,The Swing Line,03,Maya cuts the swing line at the park because waiting is taking forever.,The line for the one good swing is long.,Maya cuts to the front.,Maya finds something else to do until her turn comes around.,"Next time there's a line, notice what you do while you wait.",6,Maya stepping toward the front of the line.,M,15,Medium,
16,The Present Under the Tree,03,A wrapped present under the tree is too tempting not to peek at.,"The present has Maya's name on it, days before it's time.",Maya sneaks a corner open to peek.,Maya finds a way to make the waiting itself a little fun.,"Think of one thing you're waiting for, and one way to make the wait better.",6,"The corner of wrapping paper, pulled back.",S,16,Medium,
17,Stuck on the Fence,04,Maya climbs too high on the fence and won't call for help.,Maya is stuck higher than she meant to go.,Maya tries to jump down instead of calling out.,Maya calls for Gramps Lou instead of jumping.,"If you're stuck on something today, say the word 'help' out loud.",7,"Maya's hand gripping the fence, deciding.",M,17,Medium,
18,The Homework I Don't Get,04,Maya pretends to understand a math worksheet instead of asking Ms. Rivera.,The numbers on the page don't make sense to Maya.,Maya guesses and turns it in without asking.,Maya raises her hand and admits she's confused.,"Next time something's confusing, ask one question about it out loud.",6,"Maya staring at the worksheet, pencil frozen.",S,18,Medium,"Keep the confusion ordinary, no hint of shame about not understanding."
19,The Blanket Fort Rule,05,Nell wants into the fort Maya just finished building alone.,Nell wants in on something Maya built by herself.,"Maya says nobody's allowed in, ever.",Maya sets one simple rule and lets Nell in on it.,"Pick one thing that's yours, and one small way to include someone in it anyway.",6,Nell's face at the fort entrance.,M,19,Medium,
20,"My Diary, Not Yours",05,Theo wants to read Maya's notebook and Maya has to say no.,Theo reaches for Maya's notebook without asking.,Maya grabs it back without a word and stays upset all day.,"Maya says out loud that the notebook is private, and why that's OK.",Practice saying 'that's private' about one thing today.,6,Theo's hand on the notebook.,S,20,Medium,
21,Gramps Lou's Job,06,Maya earns her first dollar sweeping the fix-it stand and wants to spend it all on candy immediately.,A dollar earned feels like it's already spent.,Maya runs straight to buy candy with all of it.,"Maya splits it: some now, some saved, with Gramps Lou's help.","If you earn or receive any money this week, decide on it before you spend it.",7,"The dollar in Maya's hand, on the way to the candy shelf.",M,21,Medium,
22,The Yard Sale,06,Maya prices her old toys for a yard sale and learns worth isn't just how much she wants them.,Maya prices everything sky-high because she loves it all.,Nobody buys anything all morning.,Gramps Lou helps her reprice based on what things are actually worth to others.,Pick one old toy and think about what it's really worth to someone else.,8,The empty yard sale table at noon.,L,22,Low,Pricing/value is abstract for 5-7. Keep numbers tiny and concrete.
23,Give Some Away,06,Maya decides whether to give part of her saved money to something else.,Maya has saved money and hears about something it could help.,"Maya keeps all of it, uneasy about the choice.","Maya gives a small part of it away, on her own terms.","Talk about one thing your family gives to, and why.",7,"Maya's coin jar, half-open.",M,23,Low,"Giving/altruism is abstract for 5-7. Anchor it to one concrete, visible recipient."
24,Butterflies or Bees?,07,Maya feels excited and nervous at once on the first day back at school.,Maya's stomach feels weird and she can't tell if it's good or bad.,Maya says she feels sick and almost stays home.,"Maya learns a feeling can be two things at once, and that's normal.",Name one time you felt two feelings at once today.,6,"Maya's hand on her stomach, unsure.",S,24,Low,Mixed emotions are a harder concept at 5-7. Keep it to exactly two named feelings.
25,Nell's Big Cry,07,"Nell melts down and can't explain why, so Maya helps her find the word.",Nell is crying hard with no clear reason on the surface.,Maya tells Nell to stop crying and calm down.,Maya asks simple questions until Nell finds the actual feeling underneath.,"Next time someone's upset, ask what they're feeling instead of telling them to stop.",7,"Nell's cry, then the quiet after she finds the word.",S,25,Medium,
26,The Knocked-Over Blocks,08,Theo knocks over Maya's tower by accident and Maya wants to yell or hit something.,Hours of building gone in one bump.,Maya shoves Theo without thinking.,"Maya takes a breath, says she's mad, and rebuilds instead.","Next time you're mad, try one breath before you do anything else.",6,"The tower falling, then Maya's fist clenching.",S,26,Medium,
27,"Not Fair, Not My Turn",08,Maya is furious about turn order at the fix-it stand game.,Maya thinks she waited longer than everyone else.,Maya knocks the game pieces over.,Maya says 'this isn't fair' out loud instead of wrecking the game.,"Next time something feels unfair, say so with words instead of actions.",7,"The game pieces, mid-scatter.",M,27,Medium,
28,The Slammed Door,08,Maya slams her door mid-argument with Nell.,An argument with Nell gets loud fast.,Maya slams the door and stays angry alone.,Maya comes back out once she's calmer and finishes the conversation.,"If you need a minute when you're mad, take it, then come back.",6,"The door, right after it slams.",S,28,Medium,
29,The Kid Nobody Picked,09,A new kid stands alone at recess and Maya almost doesn't notice.,A new kid is left out of every game at recess.,Maya almost walks past without saying anything.,Maya invites the new kid into her game.,"Notice one person who's alone today, and say hello.",7,"The new kid, standing alone at the edge of the playground.",M,29,Medium,
30,Theo's Bad Day,09,"Theo is grumpy and short with everyone, and Maya has to decide whether to walk away or stay.",Theo snaps at Maya for no clear reason.,Maya snaps back and leaves.,"Maya stays, asks what's wrong, and finds out Theo had a rough morning.","Next time a friend is snippy, ask what's going on before reacting.",7,"Theo's snap, then Maya's pause.",S,30,Medium,
31,Standing Up for Nell,09,"An older kid teases Nell, and Maya has to decide whether speaking up is worth it.",A bigger kid says something unkind to Nell at the park.,Maya says nothing and pulls Nell away quietly.,Maya speaks up calmly and gets an adult if it continues.,Think of one calm thing you could say if you saw this happen.,8,"The tease, and the beat before Maya decides.",M,31,Low,"Peer conflict with a bigger kid needs careful, non-scary handling and a clear get-an-adult resolution."
32,The Broken Fence Board,10,Maya breaks a board at the fix-it stand while playing somewhere she shouldn't.,Maya was climbing where Gramps Lou asked her not to.,Maya hides the broken board behind the stand.,Maya tells Gramps Lou and helps him fix it.,"If you broke a rule this week, tell someone before they find out.",7,"The board, hidden behind a crate.",M,32,Low,
33,Forgot Nell at the Park,10,"Distracted, Maya walks off without Nell for a scary few seconds.",Maya gets absorbed in a game and loses track of Nell.,Maya keeps playing a beat too long before noticing.,"Maya finds Nell, apologizes, and they agree on a buddy rule.",Pick one buddy system for the next time you're out with someone younger.,7,The empty spot where Nell was standing.,M,33,Low,
34,Said Something Mean,10,Maya says something unkind to Theo out of frustration.,Maya is frustrated and the words come out sharp.,Maya pretends she didn't mean it and moves on.,"Maya apologizes specifically, naming what she said and why it was unkind.","If you said something sharp this week, go back and name exactly what you'd change.",6,The words landing on Theo's face.,S,34,Medium,
35,The Person at the Door,11,Someone Maya doesn't know knocks while she's home with Gramps Lou.,A stranger is at the door and Maya's the closest to it.,Maya opens the door on her own.,"Maya gets Gramps Lou before answering, calmly, no scare.",Agree on your own family's door rule and say it out loud.,6,"The knock, and Maya's hand near the doorknob.",S,35,Medium,
36,Lost at the Park,11,Maya gets briefly separated from Gramps Lou at a crowded park.,Maya turns around and Gramps Lou isn't where he was.,Maya starts wandering to look for him.,"Maya stays put and finds a helper, like they'd planned.",Pick a stay-put plan with your grown-up for the next crowded place you go.,7,The moment Maya realizes she's alone in the crowd.,M,36,Low,"Keep this calm and procedural, not frightening. The resolution should feel fast and safe."
37,The Tablet Game,11,A game Maya's playing pops up asking for personal information.,A pop-up asks Maya to type in her name and address to 'win.',Maya starts typing before thinking about it.,Maya stops and gets Gramps Lou before typing anything.,Agree on one stop-and-ask-a-grown-up rule for any screen you use.,6,"The pop-up on screen, and Maya's finger hovering.",S,37,Low,"Keep this about the simple stop-and-ask rule, not a detailed explanation of online risk."
38,The Bike Left in the Rain,12,Maya's bike rusts a little because she left it out overnight.,Rain caught the bike Maya forgot outside.,Maya is surprised and upset the bike doesn't work as well.,Maya cleans it up and starts a habit of putting it away.,Put one thing away today that's usually left out.,6,"The rusted chain, close up.",S,38,Medium,
39,Borrowed and Broken,12,Maya borrows Theo's toy and it breaks while she has it.,"The toy breaks on Maya's watch, not Theo's.","Maya quietly gives it back broken, saying nothing.",Maya tells Theo right away and offers to help fix or replace it.,"If you're borrowing something this week, treat it like it's extra-precious.",7,The toy breaking in Maya's hands.,S,39,Medium,"Keep the emphasis on honesty and repair, not guilt, about someone else's belongings."
40,The Missing Shoe,12,Maya can't find her shoe every single morning.,"The same shoe goes missing on a school morning, again.",Maya blames everyone else for moving it.,Maya and Gramps Lou set up one spot the shoes always go.,Pick one always-goes-here spot for the thing you lose most.,6,"The frantic search, then the new shoe spot.",S,40,Medium,
